player_name,market,line,odds_over,odds_under,game_date,team_abbr,opp_abbr,book
2544,PTS,,,,2025-12-13,LAL,,
2544,REB,,,,2025-12-13,LAL,,
2544,AST,,,,2025-12-13,LAL,,
2544,FG3M,,,,2025-12-13,LAL,,
2544,PRA,,,,2025-12-13,LAL,,
201142,PTS,,,,2025-12-13,HOU,,
201142,REB,,,,2025-12-13,HOU,,
201142,AST,,,,2025-12-13,HOU,,
201142,FG3M,,,,2025-12-13,HOU,,
201142,PRA,,,,2025-12-13,HOU,,
201566,PTS,,,,2025-12-13,SAC,,
201566,REB,,,,2025-12-13,SAC,,
201566,AST,,,,2025-12-13,SAC,,
201566,FG3M,,,,2025-12-13,SAC,,
201566,PRA,,,,2025-12-13,SAC,,
201935,PTS,,,,2025-12-13,LAC,,
201935,REB,,,,2025-12-13,LAC,,
201935,AST,,,,2025-12-13,LAC,,
201935,FG3M,,,,2025-12-13,LAC,,
201935,PRA,,,,2025-12-13,LAC,,
201939,PTS,,,,2025-12-13,GSW,,
201939,REB,,,,2025-12-13,GSW,,
201939,AST,,,,2025-12-13,GSW,,
201939,FG3M,,,,2025-12-13,GSW,,
201939,PRA,,,,2025-12-13,GSW,,
201942,PTS,,,,2025-12-13,SAC,,
201942,REB,,,,2025-12-13,SAC,,
201942,AST,,,,2025-12-13,SAC,,
201942,FG3M,,,,2025-12-13,SAC,,
201942,PRA,,,,2025-12-13,SAC,,
201950,PTS,,,,2025-12-13,POR,,
201950,REB,,,,2025-12-13,POR,,
201950,AST,,,,2025-12-13,POR,,
201950,FG3M,,,,2025-12-13,POR,,
201950,PRA,,,,2025-12-13,POR,,
202331,PTS,,,,2025-12-13,PHI,,
202331,REB,,,,2025-12-13,PHI,,
202331,AST,,,,2025-12-13,PHI,,
202331,FG3M,,,,2025-12-13,PHI,,
202331,PRA,,,,2025-12-13,PHI,,
202695,PTS,,,,2025-12-13,LAC,,
202695,REB,,,,2025-12-13,LAC,,
202695,AST,,,,2025-12-13,LAC,,
202695,FG3M,,,,2025-12-13,LAC,,
202695,PRA,,,,2025-12-13,LAC,,
202696,PTS,,,,2025-12-13,CHI,,
202696,REB,,,,2025-12-13,CHI,,
202696,AST,,,,2025-12-13,CHI,,
